"","x"
"1",-1.12615853166956
"2",-1.12615853166956
"3",-1.12615853166956
"4",-1.12615853166956
"5",-1.12615853166956
"6",-1.12615853166956
"7",0.143851233869259
"8",0.253318041710379
"9",0.333595305495986
"10",0.283629002182802
"11",0.304360224420636
"12",0.305079243003675
"13",0.714929524238387
"14",0.448575277044424
"15",0.450546985630031
"16",0.623136610742987
"17",0.722003928266034
"18",0.656819465841039
"19",1.04558533847462
"20",1.12853918307581
"21",1.14247432349671
"22",1.19057838866925
"23",1.16727698921609
"24",1.32542038925958
"25",1.3747030059473
"26",1.35265308842367
"27",-1.06217317352359
"28",-1.06217317352359
"29",-1.06217317352359
"30",-1.06217317352359
"31",-1.06217317352359
"32",-1.06217317352359
"33",-1.06217317352359
"34",-1.06217317352359
"35",-1.06217317352359
"36",-1.06217317352359
"37",-1.06217317352359
"38",-1.06217317352359
"39",-1.06217317352359
"40",-1.06217317352359
"41",-1.06217317352359
"42",-1.06217317352359
"43",-1.06217317352359
"44",-1.06217317352359
"45",-1.06217317352359
"46",-1.06217317352359
"47",-1.06217317352359
"48",-1.06217317352359
"49",-1.06217317352359
"50",-1.06217317352359
"51",-1.06217317352359
"52",-1.06217317352359
"53",-1.06217317352359
"54",-1.06217317352359
"55",-1.06217317352359
"56",-1.06217317352359
"57",-1.06217317352359
"58",-1.06217317352359
"59",-1.06217317352359
"60",-1.06217317352359
"61",-1.06217317352359
"62",-1.06217317352359
"63",-1.06217317352359
"64",-1.06217317352359
"65",-1.06217317352359
"66",1.26682369038904
"67",1.30467507225276
"68",1.64943991877431
"69",1.65826291775415
"70",1.6766881954272
"71",1.67136486228948
"72",1.67136486228948
"73",1.74326783655725
"74",2.2077456538166
"75",2.26039721604447
"76",2.42721325552581
"77",2.32121136959129
"78",2.49933332944476
"79",2.30010754393654
"80",2.43046041633328
"81",2.34050448867431
"82",2.34272512457468
"83",2.42882696231348
"84",2.35236177179491
"85",2.33867290744832
"86",2.30906527427581
"87",2.39351709874671
"88",2.42578247581707
"89",2.41100480645343
"90",2.41982780543327
"91",2.41232525478177
"92",2.27893471044798
"93",2.27893471044798
"94",2.32165576924322
"95",2.41305313839378
"96",0.252474362280741
"97",0.267785010623678
"98",0.292661442551587
"99",0.184989856621608
"100",0.149041456306651
"101",0.196422103927267
"102",0.214304385558016
"103",0.235698570476778
"104",0.291014536766317
"105",0.271646005352789
"106",0.255175007087628
"107",0.23502767018123
"108",0.34022533511179
"109",0.331924535934564
"110",0.376133010470521
"111",0.413364835016279
"112",0.415440034810585
"113",0.420515084852804
"114",0.407372152822196
"115",0.392760613632943
"116",0.494246844482147
"117",0.462214979104601
"118",0.590180394133243
"119",0.467777108935959
"120",0.765333378923268
"121",0.759056349310139
"122",0.694858992771674
"123",0.706036437695877
"124",0.706036437695877
"125",0.726188642282885
"126",0.721428824416451
"127",0.710707819868978
"128",0.709703597421848
"129",0.764381024954826
"130",0.744314511134919
"131",0.886825208979922
"132",0.830010439179153
"133",0.85007695299906
"134",0.730483255907269
"135",0.0837523304758438
"136",0.0552574987611824
"137",0.127809779553936
"138",-0.00116156848444746
"139",0.187071844463827
"140",0.0488293925563434
"141",0.12606626381215
"142",0.0516588317920164
"143",0.103482138712745
"144",-1.12615853166956
"145",-1.12615853166956
"146",-1.12615853166956
"147",-1.12615853166956
"148",-1.12615853166956
"149",-1.12615853166956
"150",-1.12615853166956
"151",-1.12615853166956
"152",-1.12615853166956
"153",-1.12615853166956
"154",-1.12615853166956
"155",-1.12615853166956
"156",-1.12615853166956
"157",0.661622821080692
"158",0.631986626584719
"159",0.514675719429662
"160",0.530507245895732
"161",0.503843652142786
"162",-1.12615853166956
"163",-1.12615853166956
"164",-1.12615853166956
"165",-1.12615853166956
"166",-1.12615853166956
"167",-1.12615853166956
"168",-1.12615853166956
"169",-1.12615853166956
"170",-1.12615853166956
"171",-1.12615853166956
"172",-1.12615853166956
"173",-1.12615853166956
"174",-1.12615853166956
"175",-1.12615853166956
"176",-1.12615853166956
"177",-1.12615853166956
"178",-1.12615853166956
"179",-1.12615853166956
"180",-1.12615853166956
"181",-1.12615853166956
"182",-1.12615853166956
"183",-1.12615853166956
"184",-1.12615853166956
"185",-1.12615853166956
"186",-0.0916469653216885
"187",-0.0916469653216885
"188",-0.118592067254116
"189",-0.112502369787976
"190",-0.174736935027865
"191",-0.183467034263717
"192",-0.283984372522435
"193",-0.271040827689765
"194",-0.179702332214323
"195",-0.171518219586122
"196",-0.171518219586122
"197",-0.110914084492812
"198",-0.040017915214068
"199",0.0203568545970822
"200",-0.0971056371570065
"201",-0.0257515134961812
"202",-0.127856828982644
"203",-0.149480061956975
"204",-0.205576910104464
"205",-0.198563703488569
"206",0.0730482502974561
"207",0.208399631234463
"208",0.214987079137484
"209",0.228338894439608
"210",0.136932842954142
"211",0.122046862123692
"212",0.180921822618717
"213",0.113729937588915
"214",0.197257455105338
"215",0.157289268849469
"216",0.0981452755489927
"217",0.085782468728125
"218",0.0278733311419248
"219",0.0622586060870639
"220",-0.00775445927508914
"221",0.0601243745589601
"222",0.123879093771179
"223",0.0167520335610467
"224",0.071707133301261
"225",0.250701072641912
"226",0.502977406400314
"227",0.568486784046323
"228",1.59404460102564
"229",0.386087990561343
"230",0.37293459398527
"231",0.319229382835748
"232",0.385564862901343
"233",0.396829987228603
"234",0.482836788994142
"235",0.400068139795366
"236",0.43056701862186
"237",0.391032499830367
"238",0.427224330990797
"239",0.459613209127264
"240",0.507305388143459
"241",0.491080285209164
"242",0.491080285209164
"243",0.608261110973495
"244",0.630430676695271
"245",0.6428005534952
"246",0.666890194255952
"247",0.685972067279487
"248",0.709300666257091
"249",0.786931463263386
"250",0.75317464242822
"251",0.81492864899679
"252",0.711926041753255
"253",0.890911623074504
"254",0.750825848474515
"255",0.789851307236199
"256",0.795348636012332
"257",0.774477779163584
"258",0.768138971029506
"259",0.717629365299698
"260",0.769962123333754
"261",0.762279184819923
"262",0.801230276760011
"263",0.687006801165579
"264",0.684792938504866
"265",0.728069631726073
"266",0.672733279614135
"267",0.765679104046466
"268",-0.478818775155049
"269",-0.473709583548862
"270",-0.431086658610957
"271",-0.419439635090822
"272",-0.428812428046447
"273",-0.4057988489909
"274",-0.396378951188569
"275",-0.405094567898118
"276",-0.333283282180726
"277",-0.264546747229333
"278",-0.233595337816698
"279",-0.17705373190508
"280",-0.164865716590812
"281",-0.160534065055762
"282",-0.156785191239097
"283",-0.164786679186355
"284",-0.157008069849609
"285",-0.227960928903891
"286",-0.207679145920071
"287",-0.180237955315136
"288",-0.179441511801838
"289",-0.11174238836464
"290",-0.135341563652026
"291",-0.115559778267132
"292",-0.12517740354726
"293",-0.128869560801525
